Year,Month,Day,Daytype,Time,City,Province,LocationType,Density,Target,Kills,Injures,Temperature(F),Targeted Relgion
1995,11,19,Weekend or Holiday,Missing,Islamabad,Capital,Foreign Area,High,Tourist,14,60,60,None
2000,11,6,Working Day,Missing,Karachi,Sindh,Office Building,Low,"Government, Media and Officer",3,3,74,None
2002,5,8,Working Day,7,Karachi ,Sindh,Hotel and Hospital,Medium,Tourist,14,30,88,Christian
2002,6,14,Working Day,11,Karachi,Sindh,Foreign Area,High,Tourist,12,51,88,Christian
2003,7,4,Working Day,Missing,Quetta,Balochistan,Religious Area,Medium,Religious,45,65,91,Shiite
2003,12,25,Weekend or Holiday,13,Rawalpindi,Punjab,Vehicle,Low,Police and Military,17,50,49,None
2004,2,28,Weekend or Holiday,Missing,Rawalpindi,Punjab,Religious Area,Medium,Religious,1,3,59,shiite
2004,5,7,Working Day,13,Karachi ,Sindh,Religious Area,Medium,Religious,14,148,92,shiite
2004,5,31,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,17,35,88,Shiite
2004,6,3,Working Day,Missing,North waziristan,FATA,Military or Police Area,High,Police and Military,2,2,80,None
2004,7,28,Working Day,20,Kohat,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Police and Military,2,3,90,None
2004,7,30,Working Day,19,Attock ,Punjab,Commercial and Residence Area,Low,"Government, Media and Officer",7,57,79,None
2004,10,1,Working Day,13,Sialkot,Punjab,Religious Area,Medium,Religious,28,62,81,shiite
2004,10,10,Weekend or Holiday,17,Lahore ,Punjab,Religious Area,Medium,Religious,4,8,75,shiite
2005,3,19,Weekend or Holiday,23,Quetta,Balochistan,Religious Area,Medium,Religious,37,54,61,Shiite
2005,4,28,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,2,Missing,67,None
2005,5,27,Working Day,11,Islamabad,Capital,Religious Area,Medium,Civilian,22,91,80,Shiite/sunni
2005,5,30,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,5,24,89,shiite
2006,2,9,Weekend or Holiday,9,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Religious,38,90,59,Shiite
2006,3,2,Working Day,9,Karachi,Sindh,Hotel and Hospital,Medium,Tourist,4,42,77,Christian
2006,4,12,Weekend or Holiday,19,Karachi ,Sindh,Commercial and Residence Area,Medium,Religious,52,100,83,Sunni
2006,6,2,Working Day,10,Bannu,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,7,79,None
2006,6,26,Working Day,15,North Waziristan,FATA,Military or Police Area,High,Police and Military,6,26,83,None
2006,8,6,Weekend or Holiday,8,Lasbela,Balochistan,Commercial and Residence Area,Low,Civilian,1,0,81,None
2006,11,8,Working Day,8,Malakand ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,41,29,66,None
2006,11,17,Working Day,7,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,1,2,63,None
2006,12,3,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,1,40,None
