Year,Month,Day,Daytype,Time,City,Province,LocationType,Density,Target,Kills,Injures,Temperature(F)
1995,11,19,Weekend or Holiday,Missing,Islamabad,Capital,Foreign Area,High,Tourist,14,60,60
2000,11,6,Working Day,Missing,Karachi,Sindh,Office Building,Low,"Government, Media and Officer",3,3,74
2002,5,8,Working Day,7,Karachi ,Sindh,Hotel and Hospital,Medium,Tourist,14,30,88
2002,6,14,Working Day,11,Karachi,Sindh,Foreign Area,High,Tourist,12,51,88
2003,7,4,Working Day,Missing,Quetta,Balochistan,Religious Area,Medium,Religious,45,65,91
2003,12,25,Weekend or Holiday,13,Rawalpindi,Punjab,Vehicle,Low,Police and Military,17,50,49
2004,2,28,Weekend or Holiday,Missing,Rawalpindi,Punjab,Religious Area,Medium,Religious,1,3,59
2004,5,7,Working Day,13,Karachi ,Sindh,Religious Area,Medium,Religious,14,148,92
2004,5,31,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,17,35,88
2004,6,3,Working Day,Missing,North waziristan,FATA,Military or Police Area,High,Police and Military,2,2,80
2004,7,28,Working Day,20,Kohat,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Police and Military,2,3,90
2004,7,30,Working Day,19,Attock ,Punjab,Commercial and Residence Area,Low,"Government, Media and Officer",7,57,79
2004,10,1,Working Day,13,Sialkot,Punjab,Religious Area,Medium,Religious,28,62,81
2004,10,10,Weekend or Holiday,17,Lahore ,Punjab,Religious Area,Medium,Religious,4,8,75
2005,3,19,Weekend or Holiday,23,Quetta,Balochistan,Religious Area,Medium,Religious,37,54,61
2005,4,28,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,2,Missing,67
2005,5,27,Working Day,11,Islamabad,Capital,Religious Area,Medium,Civilian,22,91,80
2005,5,30,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,5,24,89
2006,2,9,Weekend or Holiday,9,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Religious,38,90,59
2006,3,2,Working Day,9,Karachi,Sindh,Hotel and Hospital,Medium,Tourist,4,42,77
2006,4,12,Weekend or Holiday,19,Karachi ,Sindh,Commercial and Residence Area,Medium,Religious,52,100,83
2006,6,2,Working Day,10,Bannu,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,7,79
2006,6,26,Working Day,15,North Waziristan,FATA,Military or Police Area,High,Police and Military,6,26,83
2006,8,6,Weekend or Holiday,8,Lasbela,Balochistan,Commercial and Residence Area,Low,Civilian,1,0,81
2006,11,8,Working Day,8,Malakand ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,41,29,66
2006,11,17,Working Day,7,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,1,2,63
2006,12,3,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,1,40
2007,1,22,Working Day,10,North Waziristan,FATA,Vehicle,High,Police and Military,4,24,36
2007,1,26,Working Day,14,Islamabad,Capital,Hotel and Hospital,Medium,Tourist,1,6,61
2007,1,27,Weekend or Holiday,20,Peshawar ,Khyber-Pakhtunkhwa,Religious Area,Medium,Civilian,14,45,59
2007,1,29,Weekend or Holiday,Missing,D.I Khan ,Khyber-Pakhtunkhwa,Military or Police Area,High,Civilian,2,7,63
2007,2,3,Weekend or Holiday,6,Lakki Marwat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,1,Missing,63
2007,2,3,Weekend or Holiday,12,Tank,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,2,7,67
2007,2,6,Working Day,20,Islamabad ,Capital,Transport,High,Civilian,1,6,61
2007,2,17,Weekend or Holiday,11,Quetta ,Balochistan,Office Building,High,Civilian,16,32,47
2007,3,29,Working Day,11,Gujrat,Punjab,Military or Police Area,High,Police and Military,1,7,78
2007,4,28,Weekend or Holiday,18,Charsadda,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",30,44,82
2007,5,15,Working Day,12,Peshawar ,Khyber-Pakhtunkhwa,Hotel and Hospital,Medium,Tourist,24,23,87
2007,5,28,Working Day,12,Tank ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,3,2,76
2007,7,4,Working Day,10,North Waziristan,FATA,Vehicle,High,Police and Military,9,10,80
2007,7,12,Working Day,Missing,Swat ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,6,89
2007,7,12,Working Day,16,North Waziristan,FATA,Office Building,High,"Government, Media and Officer",3,3,88
2007,7,14,Weekend or Holiday,14,North Waziristan,FATA,Vehicle,High,Police and Military,23,27,78
2007,7,15,Weekend or Holiday,15,D.I Khan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,27,55,83
2007,7,15,Weekend or Holiday,7,Swat ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,18,43,81
2007,7,17,Working Day,8,Islamabad ,Capital,Office Building,High,"Government, Media and Officer",16,60,83
